jar,23/8/2024 2:49:19PM,A turn. [Only in phrase.]
moon,23/8/2024 2:49:25PM,"The celestial orb which revolves round the earth; the satellite of the earth; a secondary planet, whose light, borrowed from the sun, is reflected to the earth, and serves to dispel the darkness of night. The diameter of the moon is 2,160 miles, its mean distance from the earth is 240,000 miles, and its mass is one eightieth that of the earth. See Lunar month, under Month."
pelvis,23/8/2024 2:49:35PM,"The pelvic arch, or the pelvic arch together with the sacrum. See Pelvic arch, under Pelvic, and Sacrum."
Pedimane,23/8/2024 2:50:7PM,A pedimanous marsupial; an opossum.
penner,23/8/2024 3:14:35PM,One who pens; a writer.
pennies,23/8/2024 3:16:33PM,of Penny
grant,23/8/2024 3:29:23PM,To give over; to make conveyance of; to give the possession or title of; to convey; -- usually in answer to petition.
give,23/8/2024 3:29:31PM,"To bestow without receiving a return; to confer without compensation; to impart, as a possession; to grant, as authority or permission; to yield up or allow."
give,23/8/2024 3:29:35PM,"To bestow without receiving a return; to confer without compensation; to impart, as a possession; to grant, as authority or permission; to yield up or allow."
mist,23/8/2024 3:29:44PM,"Visible watery vapor suspended in the atmosphere, at or near the surface of the earth; fog."
pelvis,23/8/2024 3:29:53PM,"The pelvic arch, or the pelvic arch together with the sacrum. See Pelvic arch, under Pelvic, and Sacrum."
underbred,23/8/2024 3:30:19PM,"Not thoroughly bred; ill-bred; as, an underbred fellow."
entheic,23/8/2024 3:30:29PM,"Caused by a morbifie virus implanted in the system; as, an enthetic disease like syphilis."
distributionist,23/8/2024 3:30:31PM,A distributer.
pipefish,23/8/2024 3:30:33PM,"Any lophobranch fish of the genus Siphostoma, or Syngnathus, and allied genera, having a long and very slender angular body, covered with bony plates. The mouth is small, at the end of a long, tubular snout. The male has a pouch on his belly, in which the incubation of the eggs takes place."
outfit,23/8/2024 3:30:33PM,"A fitting out, or equipment, as of a ship for a voyage, or of a person for an expedition in an unoccupied region or residence in a foreign land; things required for equipment; the expense of, or allowance made for, equipment, as by the government of the United States to a diplomatic agent going abroad."
tunicin,23/8/2024 3:30:33PM,"Animal cellulose; a substance present in the mantle, or tunic, of the Tunicates, which resembles, or is identical with, the cellulose of the vegetable kingdom."
grating,23/8/2024 3:30:33PM,of Grate
lace|bark,23/8/2024 3:30:35PM,A shrub in the West Indies (Lagetta Iintearia); -- so called from the lacelike layers of its inner bark.
deodorization,23/8/2024 3:30:35PM,"The act of depriving of odor, especially of offensive odors resulting from impurities."
calcify,23/8/2024 3:30:35PM,To make stony or calcareous by the deposit or secretion of salts of lime.
polishedness,23/8/2024 3:30:35PM,The quality of being polished.
phebe,23/8/2024 3:30:35PM,See Phoebe.
macaw,23/8/2024 3:30:38PM,"Any parrot of the genus Sittace, or Macrocercus. About eighteen species are known, all of them American. They are large and have a very long tail, a strong hooked bill, and a naked space around the eyes. The voice is harsh, and the colors are brilliant and strongly contrasted."
ponghee,23/8/2024 3:30:38PM,A Buddhist priest of the higher orders in Burmah.
irreconcilability,23/8/2024 3:30:38PM,The quality or state of being irreconcilable; irreconcilableness.
ureter,23/8/2024 3:30:38PM,"The duct which conveys the urine from the kidney to the bladder or cloaca. There are two ureters, one for each kidney."
phebe,23/8/2024 3:30:48PM,See Phoebe.
pillow,28/8/2024 7:6:52PM,"Anything used to support the head of a person when reposing; especially, a sack or case filled with feathers, down, hair, or other soft material."
can,28/8/2024 7:7:5PM,"an obs. form of began, imp. & p. p. of Begin, sometimes used in old poetry. [See Gan.]"
glass,28/8/2024 7:7:12PM,"A hard, brittle, translucent, and commonly transparent substance, white or colored, having a conchoidal fracture, and made by fusing together sand or silica with lime, potash, soda, or lead oxide. It is used for window panes and mirrors, for articles of table and culinary use, for lenses, and various articles of ornament."
fan,28/8/2024 7:8:45PM,"An instrument used for producing artificial currents of air, by the wafting or revolving motion of a broad surface"
final,28/8/2024 7:8:51PM,"Pertaining to the end or conclusion; last; terminating; ultimate; as, the final day of a school term."
test,28/8/2024 7:9:2PM,A cupel or cupelling hearth in which precious metals are melted for trial and refinement.
pilot,28/8/2024 7:9:12PM,One employed to steer a vessel; a helmsman; a steersman.
grant,28/8/2024 7:9:25PM,To give over; to make conveyance of; to give the possession or title of; to convey; -- usually in answer to petition.
license,28/8/2024 7:9:31PM,"Authority or liberty given to do or forbear any act; especially, a formal permission from the proper authorities to perform certain acts or to carry on a certain business, which without such permission would be illegal; a grant of permission; as, a license to preach, to practice medicine, to sell gunpowder or intoxicating liquors."
fy,28/8/2024 7:9:41PM,"A word which expresses blame, dislike, disapprobation, abhorrence, or contempt. See Fie."
fry,28/8/2024 7:9:44PM,"To cook in a pan or on a griddle (esp. with the use of fat, butter, or olive oil) by heating over a fire; to cook in boiling lard or fat; as, to fry fish; to fry doughnuts."
