con chó,6/7/2024 3:12:8PM,dtừ|- bowwow
ngu,6/7/2024 3:12:13PM,silly; stupid; foolish; doltish|=ngu như bò bovine stupidity|=quả là ta ngu thật! how silly/stupid of me!
gà,6/7/2024 3:12:16PM,cock; fowl; chicken|=nuôi gà to keep chickenschicken
vãi,6/7/2024 3:12:21PM,dtừ|- buddhist nun; buddhist woman-devotee| dtừ|- spill, be spilled, strew; fling, hurl, throw, cast
á,16/7/2024 10:18:10AM,oh!; ouch! (exclamation of pain)|- xem châu á|=khối đại đông á new order for greater east asia|=nam á south asia
à,16/7/2024 10:19:31AM,thán từ oh (exclamation of surprise)|=à, phải rồi oh yes, that's that; that's right|=à, đẹp tuyệt nhỉ! oh, beautiful!
cặc,16/7/2024 10:20:5AM,dtừ|- cock, prick, penis
cặc,16/7/2024 10:20:47AM,dtừ|- cock, prick, penis
mèo,16/7/2024 10:20:53AM,cat; tomcat; mouser|=chơi trò mèo vờn chuột với ai to play cat and mouse with somebody|=tôi có con mèo này làm bạn i have this cat for company|- fancy woman; kept woman; paramour; mistress
gà,16/7/2024 10:20:57AM,cock; fowl; chicken|=nuôi gà to keep chickenschicken
chén,16/7/2024 10:23:58AM,dtừ|- cup; bowl, small bowl; cupful; bowlful|=bộ ấm chén a set of cups and pot|- amount of galenical medicine made up in one prescription|=chén chú chén anh to be pot companions, to be drinking companions; cup for you, cup for me; feast, regale|=chén tạc chén thù toasts exchanged in a drinking bout, toast the host; drink together| đtừ|- to have a booze; drink (wine)|=quá chén drink (wine) too much|=cạn chén empty one's cup (of wine); drink hard/deep|- feast, regale|=chè chén revelry|- take bribes
muỗng,16/7/2024 10:24:2AM,,(địa phương) spoon; spoonful|=muỗng canh a soup spoon m|=uỗng cà phê a coffee-spoon
đìa,16/7/2024 10:24:5AM,dtừ|- pond
ao,16/7/2024 10:24:8AM,pond|=ao cá fish pond|=ao nuôi vịt duck pond|- to measure roughly; to measure approximately|=ao thúng thóc to measure a basket of paddy approximately
á,16/7/2024 10:43:18AM,oh!; ouch! (exclamation of pain)|- xem châu á|=khối đại đông á new order for greater east asia|=nam á south asia
cặc,16/7/2024 10:43:20AM,dtừ|- cock, prick, penis
ao,16/7/2024 10:43:22AM,pond|=ao cá fish pond|=ao nuôi vịt duck pond|- to measure roughly; to measure approximately|=ao thúng thóc to measure a basket of paddy approximately
đìa,16/7/2024 10:43:24AM,dtừ|- pond
chó,16/7/2024 10:43:28AM,dog; bitch|=thức ăn dành cho chó dog food|=chết như một con chó to die like a dog; to die a dog's death
gà,16/7/2024 10:43:29AM,cock; fowl; chicken|=nuôi gà to keep chickenschicken
á,16/7/2024 10:44:54AM,oh!; ouch! (exclamation of pain)|- xem châu á|=khối đại đông á new order for greater east asia|=nam á south asia
à,16/7/2024 10:44:56AM,thán từ oh (exclamation of surprise)|=à, phải rồi oh yes, that's that; that's right|=à, đẹp tuyệt nhỉ! oh, beautiful!
