word,example
A,a child holds a toy
A-,He got an A- on his math test.
A 1,A 1 is a rating of excellent service.
A B C,A B C is a commonly used acronym for the American Broadcasting Company.
A cappella,The choir performed a cappella.
A fortiori,"""A fortiori, we should not support policies that harm the environment."""
A mensa et thoro,"A mensa et thoro is a Latin phrase meaning ""from bed and board""."
A posteriori,The a posteriori probability of an event is the probability of it happening given the evidence.
A priori,A priori knowledge is knowledge that is not gained from experience.
Aam,Aam is a fruit.
Aard-vark,The aard-vark is a nocturnal insectivore found in sub-Saharan Africa.
Aard-wolf,The aard-wolf is a scavenger that eats mostly carrion.
Aaronic,Aaronic priests are the descendants of Aaron.
Aaronical,The priest performed the Aaronical rites on the altar.
Aaron's rod,"Aaron's rod budded, blossomed, and produced almonds to show that God had chosen him to be the high priest."
Ab,The car ab-andoned the race early.
Ab-,"Ab- is a prefix that means ""away from"" or ""from the beginning""."
Abaca,Abaca is used to make rope.
Abaci,Abaci were used by the ancient Chinese to perform calculations.
Abacinate,The professor abaciated the blackboard.
Abacination,The abacination of the patient's hand was successful.
Abaciscus,"Abaciscus is a small, round table."
Abacist,Abacists are people who use an abacus.
Aback,The man was taken aback by the news.
Abactinal,Abactinal is the side of a sea urchin without the tube feet.
Abaction,Abaction is the act of stealing a minor.
Abactor,A farmer discovered his tractor had been stolen by an abactor.
Abaculi,Abaculi are the indigenous people of Uganda.
Abaculus,Abaculus are small stones used for counting.
Abacus,A child uses an abacus to learn math.
Abacuses,Abascus in the museum are used for teaching.
Abada,Abada is a type of traditional Moroccan dress.
Abaddon,Abaddon is the angel of the bottomless pit.
Abaft,The lifeboat was located abaft the stern.
Abaisance,The abaisance of the king was a sign of his submission.
Abaiser,Le soleil s'abaissait à l'horizon.
Abaist,Abaist is a verb meaning to make someone feel ashamed or embarrassed.
Abalienate,He abalienated his family by gambling away all their money.
Abalienation,The abalienation of a person's rights was a common practice in the Middle Ages.
Abalone,A diver collecting abalone off the coast.
Aband,The abandoned ship was a sad sight.
Abandon,The soldiers were forced to abandon their post.
Abandoned,The abandoned house stood alone in the middle of the field.
Abandonedly,The child abandoned his teddy bear in the park.
Abandonee,A little boy is the abandonee of a homeless couple.
Abandoner,The abandoner leaves the baby in the woods.
Abandoning,A man abandoning his dog by the roadside.
Abandonment,The house fell into abandonment after the owner died.
Abandum,The abandoned house was overgrown with weeds.
Abanet,Abanet is a software company.
Abanga,Abanga is a traditional dance from the Ashanti region of Ghana.
Abannation,The building was left in a state of abannation.
Abannition,The abannition of the village left the residents homeless.
Abarticulation,The abarticulation of the humerus and scapula allowed the shoulder to move freely.
Abase,He abased himself before the king.
Abased,abased by his own actions
Abasedly,The man abasedly begged for forgiveness from his wife.
Abasement,The politician's abasement before the king was a sign of his loyalty.
Abaser,The abaser of the proud is the Lord.
Abash,The child's abashed expression showed that he knew he was in trouble.
Abashed,The man felt abashed when he realized he had made a mistake.
Abashedly,The woman abashedly admitted that she had lied.
Abashing,The abashing silence of the forest after the storm.
Abashing,No example available
Abashment,The child was filled with abashment when he realized he had broken the vase.
Abasing,The politician was abasing himself in front of the media.
Abassi,The Abbāsī caliphs ruled over a vast Islamic empire.
Abassis,Abbasis invaded eastern Spain in 711.
Abatable,The abatable tax rate was increased by 1%.
Abate,"The storm abated, and the sun came out."
Abated,The storm abated and the sun came out.
Abatement,Abatement can be achieved by reducing the amount of pollutants released into the environment.
Abater,Abate the noise with soundproofing curtains.
Abating,The storm is abating and the sun is starting to come out.
Abatis,Soldiers are hiding behind an abatis.
Abatised,The noise of the construction site had abated by the time I got home.
Abator,The abatoirs are located in the industrial zone.
Abattis,A small wooden abattis was built to protect the village.
Abattoir,The abattoir is a place where animals are slaughtered for food.
Abattoirs,The abattoir is a place where animals are slaughtered.
Abature,Abature is the process of converting animal waste into usable products.
Abatvoix,The abatvoix was used to mute the organ during the sermon.
Abawed,Abawaded was the name of the first centaur to be accepted into the centaur cavalry.
Abaxial,The abaxial surface of the leaf is smooth.
Abaxile,Abaxile is a genus of moths of the family Erebidae.
Abay,The Abay River is the longest river in Africa.
Abb,Abb is a small town in the north of England.
Abb wool,Abb wool is used to make the finest cashmere sweaters.
Abba,Abba is a word for father in many languages.
Abbacies,The beautiful abbeys were built in the 12th century.
Abbacy,The abbey was an important center of learning and culture.
Abbatial,"The abbey was abandoned in the 19th century, but the abbatial buildings remain."
Abbatical,The abbatical church is located in the center of the city.
Abbe,The Abbe is a man who is learned and respected.
Abbess,The Abbess was a wise and benevolent woman.
Abbey,The abbey was a place of peace and tranquility.
Abbeys,The abbeys were built during the Middle Ages.
Abbot,The Abbot was a wise man who helped the people of his monastery.
Abbotship,Abbotship is the position of an abbot.
Abbreviate,The long word 'internationalization' is often abbreviated to 'I18N'.
Abbreviated,A company's name is often abbreviated to make it easier to fit on a business card.
Abbreviating,People are abbreviating words on social media.
Abbreviation,The abbreviated form of 'Pennsylvania' is 'PA'.
Abbreviator,Abbreviator can shorten a long word into a short one.
Abbreviatory,Acronyms are an example of abbreviatory language.
Abbreviature,The abbreviation 'UK' stands for United Kingdom.
Abdal,"The dervish was an abdal who roamed the countryside, begging for food and shelter."
Abderian,The Abderians were a people who lived in ancient Thrace.
Abderite,"The Abderites were a people who lived in Abdera, Greece."
Abdest,The man takes abdest before praying.
Abdicable,The king's abdicable throne was offered to his son.
Abdicant,The President abdicant his duty as Commander-in-Chief.
Abdicate,The queen abdicated the throne.
Abdicated,The king abdicated after losing a war.
Abdicating,The king abdicated the throne.
Abdication,The abdication of the King was announced on the radio.
Abdicative,The abdicitative king abdicated his throne.
Abdicator,The abdicator was forced to leave the country.
Abditive,An ablative construction is a type of subordinate clause.
